apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Kaišiadorių - Elektrėnų (Nr. 59),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Mūro Strėvininkų (Nr. 30)
Trakų - Elektrėnų (Nr. 58),0.4243,Naujoji sąjunga (socialliberalai),299,1,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.2716,Lietuvos lenkų rinkimų akcija,190,2,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.1033,A.Brazausko socialdemokratinė koalicija,73,-,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0948,Lietuvos liberalų sąjunga,65,2,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0283,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",20,-,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0212,Lietuvos centro sąjunga,15,-,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.017,Tėvynės sąjunga  (Lietuvos konservatoriai),11,1,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0141,Nuosaikiųjų konservatorių sąjunga,10,-,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0057,Lietuvos valstiečių partija,4,-,Liudvinavo (Nr. 78)
Trakų - Elektrėnų (Nr. 58),0.0057,Lietuvos laisvės sąjunga,4,-,Liudvinavo (Nr. 78)
