apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Naujamiesčio,,Vedęs,,,Albinas Lozuraitis,,,,,,,,Rusų;Vokiečių,,
Naujamiesčio,,Vedęs,,,Andrius Kubilius,,,,,,,,Anglų;Rusų,,
Naujamiesčio,,,,,Jurij Kobrin,,,,,,,,,,
Naujamiesčio,,,,,Bronislavas Genzelis,,,,,,,,Rusų;Lenkų;Anglų,,
Naujamiesčio,,Vedęs,,,Audrius Butkevičius,,,,,,,,Rusų;Anglų,,
Naujamiesčio,,,,,Vasilij Asmolkov,,,,,,,,,,
Šeškinės,,,,,Albinas Visockas,,,,,,,,,,
Fabijoniškių,,Vedęs,,,Feliksas Vaitkaitis,,,,,,,,Lenkų;Rusų;Anglų,,
Žirmūnų,,Vedęs,,,Rimantas Šlajus,,,,,,,,Rusų;Anglų,,
Antakalnio,,Išsiskyręs,,,Vidmantas Žiemelis,,,,,,,,Prancūzų;Rusų;Anglų,,
Senamiesčio,,,,,Linas Zaikauskas,,,,,,,,,,
Pajūrio,,Netekėjusi,,,Judita Simonavičiūtė,,Aukštasis,,,,,,Vokiečių;Rusų,,
Lazdijų Druskininkų,,Vedęs,,,Aivaras Vyšniauskas,,,,,,,,Rusų,,
Varėnos Eišiškių,,Vedęs,,,Kazimieras Velžys,,Aukštasis,,,,,,,,
Dzūkijos,,Vedęs,,,Rapolas Vasiliauskas,,,,,,,,Vokiečių,,
Vilkaviškio,,Vedęs,,,Aleksandras Edmundas Žemaitaitis,,Aukštasis,,,,,,Anglų;Rusų,,
Prienų,,Nevedęs,,,Jonas Valatka,,,,,,,,Rusų;Anglų,,
Kauno kaimiškoji,,,,,Algirdas Venckūnas,,,,,,,,,,
Kauno Kėdainių,,Vedęs,,,Jonas Viščius,,,,,,,,,,
Šakių,,Vedęs,,,Arvydas Vidžiūnas,,,,,,,,Rusų;Vokiečių,,
Suvalkijos,,Vedęs,,,Juozas Žebrauskas,,,,,,,,Rusų,,
Jurbarko,,Nenurodė,,,Birutė Valionytė,,,,,,,,Rusų;Anglų,,
Ukmergės,,Vedęs,,,Marijonas Visakavičius,,,,,,,,Rusų,,
Ukmergės,,Išsiskyręs,,,Algimantas Povilas Vanagas,,,,,,,,Rusų,,
Ukmergės,,Vedęs,,,Antanas Svetikas,,,,,,,,,,
Ukmergės,,Vedęs,,,Rimantas Smetona,,Aukštasis,,,,,,Vokiečių;Rusų,,
Ukmergės,,,,,Edmundas Pupelis,,,,,,,,,,
Ukmergės,,Vedęs,,,Rimantas Nugaras,,Aukštasis,,,,,,Rusų,,
Ukmergės,,Vedęs,,,Jonas Mindaugas Nenartonis,,Aukštasis,,,,,,Rusų;Lenkų,,
Ukmergės,,Ištekėjusi,,,Rita Mikutienė,,Aukštasis,,,,,,Anglų;Rusų,,
Ukmergės,,,,,Rimgaudas Kazėnas,,,,,,,,,,
Ukmergės,,Vedęs,,,Egidijus Gustainis,,Aukštasis,,,,,,Rusų,,
Ukmergės,,Vedęs,,,Kęstutis Glebavičius,,,,,,,,Rusų,,
Ukmergės,,Vedęs,,,Sigitas Čirba,,,,,,,,Rusų;Anglų,,
Jurbarko,,Vedęs,,,Zenonas Šimkus,,,,,,,,Anglų;Rusų,,
Jurbarko,,Vedęs,,,Algimantas Reičiūnas,,,,,,,,Vokiečių;Rusų,,
Jurbarko,,Vedęs,,,Antanas Račas,,,,,,,,Vokiečių;Rusų;Anglų,,
Jurbarko,,Išsiskyrusi,,,Leonilija Perminienė,,Aukštasis,,,,,,Anglų;Vokiečių;Rusų,,
Jurbarko,,Vedęs,,,Stasys Makūnas,,Aukštasis,,,,,,Anglų;Rusų,,
Jurbarko,,Ištekėjusi,,,Ona Kuprienė,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Jurbarko,,Vedęs,,,Vygaudas Keraitis,,,,,,,,,,
Jurbarko,,,,,Albina Kavaliauskaitė,,Aukštasis,,,,,,,,
Jurbarko,,,,,Ronius Karopčikas,,,,,,,,,,
Suvalkijos,,Vedęs,,,Vytautas Šunskis,,,,,,,,,,
Suvalkijos,,Vedęs,,,Jonas Štreimikis,,Aukštasis,,,,,,Vokiečių;Rusų;Lenkų,,
Suvalkijos,,,,,Sigitas Slavickas,,,,,,,,,,
